,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Forest Grove,45.5198,-123.1107,65.17,67,26,5.95,US,1592546400
1,Arraial do Cabo,-22.9661,-42.0278,70.02,77,83,13.51,BR,1592546400
2,Albany,42.6001,-73.9662,67.12,94,59,2.57,US,1592546400
3,Broome,42.2506,-75.833,62.58,94,13,3.29,US,1592546400
4,Hilo,19.7297,-155.09,76.17,65,87,2.95,US,1592546400
5,Chokurdakh,70.6333,147.9167,89.67,19,57,4.94,RU,1592546400
6,Bredy,52.4153,60.3411,61.57,40,6,11.95,RU,1592546400
7,Waipawa,-41.4122,175.5153,53.26,99,100,7.31,NZ,1592546400
8,Kruisfontein,-34.0033,24.7314,57.22,42,0,15.41,ZA,1592546400
9,Ushuaia,-54.8,-68.3,33.22,84,60,5.39,AR,1592546400
10,Punta Arenas,-53.15,-70.9167,37.56,93,99,0.63,CL,1592546400
11,Grakhovo,56.0502,51.9676,63.66,53,2,3.44,RU,1592546400
12,Klaksvík,62.2266,-6.589,49.75,95,65,7.49,FO,1592546400
13,Kapaa,22.0752,-159.319,77.88,72,44,14.76,US,1592546400
14,Saint-Philippe,-21.3585,55.7679,68.09,69,88,16.42,RE,1592546400
15,Vardø,70.3705,31.1107,44.47,72,74,28.34,NO,1592546400
16,Laguna,38.421,-121.4238,76.26,29,28,6.02,US,1592546400
17,Camacha,33.0833,-16.3333,66.11,89,11,6.8,PT,1592546400
18,Avera,33.194,-82.5271,69.28,78,20,4.79,US,1592546400
19,Bredasdorp,-34.5322,20.0403,56.32,51,0,8.3,ZA,1592546400
20,Bambous Virieux,-20.3428,57.7575,71.49,74,87,20.33,MU,1592546400
21,Birin,26.8865,88.0718,67.64,100,100,3.47,NP,1592546400
22,Tiksi,71.6872,128.8694,56.14,65,100,3.18,RU,1592546400
23,San Cristobal,7.7669,-72.225,65.23,90,100,4.63,VE,1592546400
24,Hobart,-42.8794,147.3294,52.56,73,100,2.86,AU,1592546400
25,Mehamn,71.0357,27.8492,42.6,79,87,24.45,NO,1592546400
26,Buraidah,26.326,43.975,94.35,19,68,3.67,SA,1592546400
27,Oktyabr'skoye,43.0645,44.7417,75.99,68,94,3.89,RU,1592546400
28,Norman Wells,65.282,-126.8329,73.2,48,64,5.19,CA,1592546400
29,Busselton,-33.65,115.3333,58.24,61,83,4.56,AU,1592546400
30,Butaritari,3.0707,172.7902,83.08,70,68,7.11,KI,1592546400
31,Luau,-10.7073,22.2247,55.58,64,56,6.96,AO,1592546400
32,Tafresh,34.692,50.013,80.26,18,0,4.27,IR,1592546400
33,Koróni,36.8,21.95,72.77,77,0,11.07,GR,1592546400
34,Lebu,-37.6167,-73.65,52.81,87,66,9.86,CL,1592546400
35,Mundo Nuevo (Ojo de Agua),18.7,-95.5,81.12,80,58,9.1,MX,1592546400
36,New Norfolk,-42.7826,147.0587,50.83,77,100,1.52,AU,1592546400
37,Ballina,-28.8667,153.5667,64.09,73,59,8.25,AU,1592546400
38,La Santisima Trinidad,-14.8333,-64.9,75.38,73,70,3.29,BO,1592546400
39,Sobolevo,54.4299,31.8996,73.11,87,4,5.48,RU,1592546400
40,Rikitea,-23.1203,-134.9692,74.97,87,100,16.6,PF,1592546400
41,Havre-St-Pierre,50.2334,-63.5986,58.84,90,82,7.61,CA,1592546400
42,Aswān,24.0934,32.907,86.92,26,0,20.69,EG,1592546400
43,Port Hedland,-20.3167,118.5667,82.9,34,0,11.63,AU,1592546400
44,Nizwá,22.9333,57.5333,101.41,26,19,4.9,OM,1592546400
45,Lesce,46.3611,14.1578,61.54,83,69,1.92,SI,1592546400
46,Kampot,10.6167,104.1833,89.42,64,56,7.85,KH,1592546400
47,George Town,5.4112,100.3354,86.2,70,60,6.82,MY,1592546400
48,Baoro,5.6667,15.9667,68.76,93,100,2.98,CF,1592546400
49,Auki,-8.7676,160.7034,83.57,76,78,2.46,SB,1592546400
50,Kahului,20.8947,-156.47,77.18,61,52,15.17,US,1592546400
51,Thompson,55.7435,-97.8558,41.04,94,95,11.03,CA,1592546400
52,Jamestown,42.097,-79.2353,62.8,84,28,5.53,US,1592546400
53,Yerbogachën,61.2767,108.0108,71.78,35,32,1.88,RU,1592546400
54,Denpasar,-8.65,115.2167,83.1,73,51,13.06,ID,1592546400
55,Yumen,40.2833,97.2,91.96,12,69,10.85,CN,1592546400
56,Rohri,27.6922,68.8951,110.35,32,0,20.83,PK,1592546400
57,Mar del Plata,-38.0023,-57.5575,50.59,78,0,12.35,AR,1592546400
58,Tuktoyaktuk,69.4541,-133.0374,42.44,85,39,9.84,CA,1592546400
59,Örnsköldsvik,63.2909,18.7153,68.5,64,0,4.99,SE,1592546400
60,Kalemie,-5.9475,29.1947,74.98,67,35,10.07,CD,1592546400
61,Daru,-9.0763,143.2092,78.64,83,100,15.88,PG,1592546400
62,Deputatsky,69.3,139.9,81.73,24,23,7.96,RU,1592546400
63,Vaini,-21.2,-175.2,74.03,84,41,20.8,TO,1592546400
64,Najrān,17.4924,44.1277,92.66,15,49,4.43,SA,1592546400
